id,name,Title,Conference,Journal,Volume,Year,Authors,Abstract,Keywords
541633,A-Comparative-Study-of-Software-Development-Size-Estimat_2017_Procedia-Compu.pdf,"A Comparative Study of Software Development Size Estimation
Method: UCPabce vs Function Points",ISICO 2017,Procedia Computer Science,124,2017,"

Sholig, Renny Sari Dewi, Apol Pribadi Subriadi

","

One of the stages in planning software development projects is to estimate the effort and cost. The good news is, there are already
studies related to the estimated cost of software development projects whose results are close to the real cost. In this study, we
compared two cost estimation methods which have quite small deviations, such Use Case Points - Activity Based Costing models
(then namely UCPabc) and Function Points (FP). Some aspects that were compared are process and parameters, complexity factors,
and deviation. The results of this research are, first, the difference of process algorithm and parameters. Secondly, there were
differences in complexity factors, 21 factors on UCPabc model and 14 factors on FP method. So, the deviation between two
methods of effort estimation toward actual effort was 11.9 percent using UCPabc and 27.8 percent using FP. Therefore, the UCPabc
method is the closest method of effort estimation toward actual effort.
","Software Cost Estimation; Cost Estimation; Function Points; Use Case Points, Activitity Based Costing
"
541634,A-Modification-Complexity-Factor-in-Function-Points-Method-_2017_Procedia-Co.pdf,"A Modification Complexity Factor in Function Points Method for
Software Cost Estimation Towards Public Service Application",ISICO 2017,Procedia Computer Science,124,2017,"

Renny Sari Dewi, Apol Pribadi Subriadi, Sholiq

","
Lately, the stages of planning software development projects have begun to consider the scientific side. As an intangible outcome,
the budgeting must also be done in a transparent and accountable manner. The authors use Function Points (FP) method approach
on the basis of 4 main reasons for estimating the effort and cost of software development (4 public service applications as research
object). In this study, there are two core phases, first, elaborating complexity factors based on other method references (i.e Use
Case Points) and mapping of non-functional requirements on Term of Reference. Furthermore, the second phase is to calculate and
compare the estimated effort and cost if the original FP method before and after modified on the complexity factor. We conclude
there is a difference of 7.19 percent (equivalent to IDR 13,567,631) between FP method calculations using and not using modified
complexity adjustment factors.
","Software Estimation; Software Size; Software Cost: Function Points; Public Service Application

"
541635,A-Hybrid-Cuckoo-Optimization-and-Harmony-Search-Algorit_2017_Procedia-Comput.pdf,"A Hybrid Cuckoo Optimization and Harmony Search Algorithm for
Software Cost Estimation",ISICO 2017,Procedia Computer Science,124,2017,"
Alifia Puspaningrum, Riyanarto Sarno","
Nowadays, software effort and time estimation becomes a substantial factor in software engineering community. Accurate
estimation can enhances performance in managing the project schedule, human resource allocation, cost estimation, etc.
Constructive Cost Model (COCOMO) II is commonly used model of software estimation influenced by four coefficients. The
optimal coeffiecients will produce optimal model in estimating effort and time development. To overcome that problem, this
paper proposed a hybrid model of cuckoo search and harmony search algorithm for optimizing four coefficients of COCOMO-II
to get optimal estimation. The proposed approach is applied on NASA 93 dataset and evaluated by using Magnitude of Relative
Error (MRE) and Magnitude of Relative Error (MMRE). Experimental results show that the proposed method is more effective in
estimating effort and time development of the software project than COCOMO-II and cuckoo search algorithm.",COCOMO II Model; Effort Estimation; Time Development Estimation; Cuckoo Search; Harmony Search; Hybrid Optimization Parameter
541636,A-Framework-for-Knowledge-Based-Software-Service-Supply-Ch_2017_Procedia-Com.pdf,"A Framework for Knowledge Based Software Service Supply Chain
(SSSC): A Comparative Analysis with Existing Frameworks",ISICO 2017,Procedia Computer Science,124,2017,"
Ali Baydoun, Jamal El-Den
","
Knowledge management adoption in the supply chain (SC) is at its infancy and related scholarly research is relatively scarce. The
main difficulties are in figuring out how to combine knowledge management concepts with the SC development process, to
improve the overall steps, performance and productivity of the SC. The purpose of this paper is to test and analyse the existing
knowledge based SCs frameworks in the literature (including manufacturing, service and software SCs), and verify how they
integrate with the knowledge management concepts, taking into consideration some parameters including lessons learned, etc.
which we believe, hinder such knowledge process in the existing frameworks. To come up with the proposed framework, we
conducted an extensive research on the existing frameworks to identify how they handle and transfer knowledge during the
development process of the SC and how they integrate the knowledge management concepts with their frameworks. Few SC
frameworks were tested to figure out their efficiency and effectiveness. Finally, after detailed comparative analysis and testing,
the research suggests that the proposed framework adds value to existing research and could be adopted by SC participants as a
useful knowledge based framework which could increase the SC overall speed, performance and productivity. The proposed
framework consists of parameters which should be introduced for more effective SSSC operations, while the absence of major
parameters (identified in this paper) makes a framework less efficient.
",Software Service Supply Chain (SSSC); Knowledge Management (KM); Service Supply Chain (SSC)
541637,A-performance-evaluation-for-assessing-registered_2017_Procedia-Computer-Sci.pdf,"A performance evaluation for assessing registered websites

",ISICO 2017,Procedia Computer Science,124,2017,"Nur Aini Rakhmawati, Valliant Ferlyando, Febriliyan Samopa, Hanim Maria Astuti","A list of registered websites under a domain is required to be evaluated to assess the quality of the websites. In this paper, we
present a monitoring system for assessing websites in our university. In order to build the system, a survey was carried out to
determine a list of the weight of a metric. The weight is calculated by using an Analytic Hierarchy Process. There are 13 metrics
for evaluating websites. As a result, a website rank is presented based on the metrics calculation. Three clusters of websites are
produced to group the registered websites. Based on the web clustering, 54% of websites are classified as a good website.","Assessment, Analytic Hierarchy Process, Website"
541638,A-New-Approach-of-Indonesian-University-Webometrics-Ran_2017_Procedia-Comput.pdf,"A New Approach of Indonesian University Webometrics Ranking
Using Entropy and PROMETHEE II",ISICO 2017,Procedia Computer Science,124,2017,"
Handaru Jati, Dhanapal Durai Dominic
","
The webometric ranking system is currently one of the most widely used methods to rank website quality including for university
websites. It uses pre-determined weights for the criteria assessed in these method; therefore, raised a question whether the pre-
determined weigh is objective. Entropy method provides a more objective weighing method criterion. This study aims to
compare the use of the entropy method followed by PROMETHEE II methods to evaluate 27 Indonesian university websites.
The entropy method assesses four indicators: visibility, presence, openness and excellence of the website performance. The
PROMETHEE II method was conducted to provide a complete ranking of university websites from the best to the worst, based
on a pair-wise comparison of alternatives along each recognized criterion. The entropy method resulted in 0,3; 0,17:0,23; and
0,27 for visibility, presence, openness and excellence weights, respectively. The website ranking using PROMETHEE II method
was not significantly different from the ranking generated from the webometric ranking system. To conclude, the use of entropy
as a more objective method followed by PROMETHEE II is a reasonable alternative of the webometric system for ranking
university websites, at least in the Indonesian context.
","webometrics; websites, Entropy; Promethee"
541639,A-Review-on-Cloud-Computing-Acceptance-Factors_2017_Procedia-Computer-Scienc.pdf,"A Review on Cloud Computing Acceptance Factors
",ISICO 2017,Procedia Computer Science,124,2017,"Mohd Talmizie Amron, Roslina Ibrahim, Suriayati Chuprat
","
Cloud computing technology is regarded as a highly useful application for organization duc to advantages such as long-term cost
saving, easy access of data at any given time and economically. In fact, there are lots of free cloud storage provider these days
whereby user can easily store and shared their organizational data easily and efficiently. Both government and private sectors are
looking into optimizing their cloud data storage. However, some of them are still in the early implementation phase with issues
on both technological and human factors need to be properly taken care of to ensure its success. In the case of Malaysia our
Government highly encouraged the use of cloud computing technology. Given that it is in the carly implementation phase it is
important to understand the factors that contribute to the use of cloud computing. This study, review studies done in health.
Higher learning institution and public sector. It was found that the most contributing factors for use or cloud computing are
technology readiness, human readiness, organization support, environment and, security and privacy. We hope that this study will
help strengthen our knowledge and readiness in implementation of cloud computing.
","Cloud Computing; Success Factor, Success Model; Health Care; Higher Education; Public Sector"
541640,A-Study-on-Intrusion-Detection-Using-Centroid-Based_2017_Procedia-Computer-S.pdf,"A Study on Intrusion Detection Using Centroid-Based Classification
",ISICO 2017,Procedia Computer Science,124,2017,"Bambang Setiawan, Supeno Dyjanali, Tohari Ahmad
","
The ultimate goal of intrusion detection system (IDS) development is to accomplish the best possible accuracy for detection attacks.
Various hybrid machine learning techniques were developed for IDS. The centroid-based classification method is a particular
hybrid learning approach that highly efficient in the training and classification stages. This paper studies 60 associated papers in
the period between 2010 and 2016 concentrating on developing IDS using hybrid classifiers, which 11 papers used centroid-based
classification. Similar studies are compared by the algorithm used in hybrid machine learning, the dataset used, the establishment
of the representative feature, the stages of pre-processing data, and evaluation methods considered. The accomplishments and
limitations in developing IDSs using hybrid machine learning and centroid-based classification were presented and discussed.
Several future research opportunities were provided that may encourage interested researchers to work in this area.
",Intrusion Detection System; Hybrid Classifiers; Centroid-Based Classification; Representative Feature
541641,A-Study-on-the-Effectiveness-of-Tree-Maps-as-Tree-Vis_2017_Procedia-Computer.pdf,"A Study on the Effectiveness of Tree-Maps as Tree Visualization
Techniques",ISICO 2017,Procedia Computer Science,124,2017,"
Lim Kian Long, Lim Chien Hui, Gim Yeong Fook, Wan Mohd Nazmee Wan Zainon*
","
Tree Structure visualization techniques are one of the important techniques to support the analysis of large hierarchical structure
data. They are typically used as tree structure node-link diagram. However, it is difficult to visualize the content of directories
when there are too many child nodes. In this paper, a study on the effectiveness of the tree-maps as tree structure visualization
will be presented. Tree-maps are always considered as one of the interesting topic of research in HCI. Therefore, in this paper we
will discuss about applying various types of Tree-maps as one of the visualization techniques. First, we will look into current
problem faced by Tree structured node-link diagram. We will also look into four main types of tree-maps such as original tree-
maps, Circular Tree-maps, Cushion Tree-maps and 3D Tree-maps. Finally, the effectiveness of these tree-maps to visualize the
hierarchy of the directory will be investigated by conducting a simple user experiments.","Tree Structure Visualization; Tree-Maps; Circular Tree-Maps; Cushion Tree-Maps, 3D Tree-Maps"
541642,Advanced-Traveler-Information-System--Itinerary-Optimization_2017_Procedia-C.pdf,"Advanced Traveler Information System: Itinerary Optimization as an
Orienteering Problem Using Iterative Local Search-Hill Climbing
",ISICO 2017,Procedia Computer Science,124,2017,"Jockey Satria Wijaya, Wiwik Anggraeni, Ahmad Muklason, Faizal Mahananto, Edwin Riksakomara, Arif Djunaidy","
Traffic congestion is a problem that becomes government concem in many big cities like Surabaya. Some initiatives have been
carried out by the government to decrease the intensity of traffic congestion, ranging from various policy like special lane for
motorcycle, odd ??? even license plate, etc. However, it is yet to be successful to decrease the heavy traffic in many big cities in
Indonesia. The right solution tends to encourage people to use public transport instead of private cars. Within the framework of
Intelligent Transport System, this paper proposes an advanced traveller information system with itinerary optimisation by
Angkot, a common public transport mode in Indonesia. The itinerary optimisation is modelled as an orienteering problem and is
solved using iterative local search ??? hill climbing algorithm. The experiment results show that generally the proposed algorithm
could solve the problem fast and effectively. In addition to propose the initial algorithm, the main contribution of this paper is a
new dataset for orienteering problem that may encourage researcher to come up with more sophisticated algorithm. Eventually,
the proposed system could encourage more people to use public transport.
",Orienteering Problem; Iterative Local Search; Intelligent Transport System
